row_id,split,cv_fold
0,train,0
1,train,2
2,train,1
3,train,3
4,train,4
5,train,0
6,train,3
7,train,3
8,train,1
9,train,1
10,train,3
11,train,0
12,train,0
13,train,4
14,train,0
15,val,-1
16,train,2
17,val,-1
18,train,2
19,train,2
20,train,2
21,train,3
22,test,-1
23,test,-1
24,train,1
25,test,-1
26,train,0
27,val,-1
28,train,3
29,train,2
30,train,1
31,val,-1
32,train,2
33,train,3
34,train,0
35,train,2
36,train,3
37,test,-1
38,val,-1
39,test,-1
40,train,3
41,train,4
42,val,-1
43,train,3
44,train,3
45,train,3
46,val,-1
47,train,2
48,test,-1
49,train,3
50,train,4
51,train,3
52,test,-1
53,train,1
54,train,2
55,test,-1
56,val,-1
57,val,-1
58,test,-1
59,val,-1
60,train,3
61,train,0
62,test,-1
63,train,1
64,train,3
65,train,0
66,test,-1
67,train,4
68,train,2
69,train,3
70,train,3
71,val,-1
72,train,0
73,train,0
74,val,-1
75,train,3
76,train,2
77,train,0
78,train,4
79,val,-1
80,train,3
81,train,4
82,train,0
83,test,-1
84,train,3
85,test,-1
86,val,-1
87,train,3
88,train,2
89,test,-1
90,test,-1
91,train,4
92,train,1
93,val,-1
94,train,4
95,train,4
96,test,-1
97,train,1
98,train,4
99,test,-1
100,train,2
101,test,-1
102,train,2
103,train,3
104,train,4
105,train,3
106,test,-1
107,train,3
108,train,2
109,train,2
110,val,-1
111,train,0
112,train,1
113,train,0
114,test,-1
115,test,-1
116,val,-1
117,train,3
118,train,0
119,test,-1
120,train,1
121,train,0
122,train,2
123,train,1
124,val,-1
125,test,-1
126,train,2
127,train,3
128,train,0
129,train,4
130,train,2
131,train,4
132,train,2
133,val,-1
134,test,-1
135,train,3
136,train,2
137,val,-1
138,train,2
139,val,-1
140,train,0
141,train,3
142,train,4
143,val,-1
144,train,0
145,test,-1
146,train,0
147,train,1
148,train,0
149,train,4
150,train,0
151,val,-1
152,train,4
153,train,4
154,train,0
155,train,0
156,train,3
157,val,-1
158,test,-1
159,train,0
160,train,3
161,val,-1
162,train,0
163,val,-1
164,test,-1
165,train,0
166,test,-1
167,train,4
168,train,4
169,train,4
170,train,4
171,train,1
172,train,1
173,train,4
174,train,1
175,train,1
176,train,0
177,val,-1
178,test,-1
179,train,1
180,test,-1
181,test,-1
182,train,1
183,train,2
184,val,-1
185,train,0
186,train,4
187,train,3
188,train,4
189,train,4
190,train,3
191,train,3
192,train,0
193,test,-1
194,val,-1
195,train,3
196,train,3
197,train,0
198,train,4
199,train,2
200,train,2
201,train,4
202,train,2
203,train,2
204,train,2
205,val,-1
206,train,1
207,val,-1
208,train,4
209,train,3
210,train,4
211,train,0
212,train,2
213,test,-1
214,train,2
215,train,2
216,train,2
217,train,3
218,train,4
219,train,1
220,train,3
221,train,4
222,train,1
223,train,4
224,train,0
225,train,1
226,train,2
227,train,0
228,val,-1
229,train,4
230,train,2
231,train,1
232,train,3
233,train,1
234,train,0
235,train,2
236,train,4
237,train,3
238,train,4
239,train,2
240,test,-1
241,train,4
242,test,-1
243,train,2
244,train,4
245,test,-1
246,train,3
247,train,1
248,val,-1
249,train,0
250,train,0
251,train,1
252,train,2
253,val,-1
254,train,1
255,test,-1
256,test,-1
257,test,-1
258,train,3
259,train,3
260,train,1
261,train,0
262,test,-1
263,train,0
264,val,-1
265,val,-1
266,train,1
267,val,-1
268,train,1
269,train,3
270,test,-1
271,val,-1
272,train,1
273,val,-1
274,train,2
275,val,-1
276,train,4
277,train,3
278,val,-1
279,train,0
280,train,1
281,train,1
282,train,4
283,val,-1
284,train,0
285,train,1
286,train,0
287,train,4
288,train,0
289,train,0
290,test,-1
291,train,4
292,val,-1
293,train,4
294,train,2
295,test,-1
296,train,0
297,train,1
298,test,-1
299,test,-1
300,train,2
301,train,3
302,val,-1
303,val,-1
304,train,0
305,train,1
306,val,-1
307,train,0
308,train,0
309,test,-1
310,train,2
311,val,-1
312,train,3
313,train,1
314,train,0
315,train,4
316,train,3
317,train,3
318,train,0
319,test,-1
320,train,2
321,train,0
322,train,1
323,val,-1
324,train,1
325,train,3
326,train,3
327,train,0
328,val,-1
329,train,3
330,train,0
331,train,3
332,train,1
333,train,4
334,train,1
335,train,3
336,val,-1
337,train,3
338,test,-1
339,train,4
340,train,3
341,train,1
342,test,-1
343,train,4
344,train,0
345,test,-1
346,train,3
347,train,3
348,test,-1
349,train,0
350,train,1
351,train,3
352,train,2
353,train,1
354,train,3
355,test,-1
356,val,-1
357,train,3
358,train,0
359,train,2
360,train,1
361,train,2
362,test,-1
363,train,1
364,val,-1
365,train,0
366,test,-1
367,val,-1
368,test,-1
369,train,2
370,train,3
371,train,3
372,test,-1
373,train,3
374,train,2
375,train,3
376,test,-1
377,test,-1
378,val,-1
379,train,2
380,val,-1
381,train,4
382,val,-1
383,train,3
384,train,1
385,train,0
386,test,-1
387,train,4
388,train,4
389,train,2
390,test,-1
391,train,1
392,val,-1
393,train,3
394,train,1
395,train,4
396,test,-1
397,val,-1
398,train,1
399,train,2
400,val,-1
401,train,0
402,train,4
403,train,1
404,train,4
405,train,0
406,train,1
407,train,3
408,train,3
409,train,2
410,val,-1
411,train,4
412,train,4
413,train,4
414,train,3
415,val,-1
416,train,1
417,train,2
418,train,4
419,val,-1
420,train,1
421,test,-1
422,train,3
423,train,2
424,train,2
425,train,3
426,val,-1
427,train,2
428,test,-1
429,train,1
430,train,1
431,test,-1
432,train,1
433,train,4
434,train,0
435,train,1
436,train,0
437,train,4
438,train,2
439,train,3
440,train,1
441,train,1
442,val,-1
443,train,1
444,train,0
445,train,0
446,train,1
447,train,2
448,train,0
449,train,4
450,train,4
451,val,-1
452,train,0
453,test,-1
454,train,1
455,test,-1
456,train,1
457,train,0
458,train,1
459,train,3
460,test,-1
461,val,-1
462,train,4
463,train,0
464,train,2
465,train,3
466,val,-1
467,train,3
468,train,0
469,val,-1
470,train,4
471,train,1
472,val,-1
473,train,1
474,train,2
475,train,4
476,train,1
477,train,3
478,train,4
479,train,4
480,train,2
481,test,-1
482,train,2
483,test,-1
484,val,-1
485,train,1
486,train,4
487,val,-1
488,train,2
489,train,1
490,test,-1
491,test,-1
492,train,4
493,train,1
494,train,4
495,train,2
496,train,2
497,train,2
498,val,-1
499,train,4
500,train,2
501,train,0
502,test,-1
503,train,3
504,train,3
505,train,1
506,train,0
507,val,-1
508,train,3
509,train,0
510,test,-1
511,train,4
512,val,-1
513,train,4
514,val,-1
515,train,2
516,test,-1
517,test,-1
518,val,-1
519,val,-1
520,train,4
521,train,2
522,test,-1
523,train,0
524,train,3
525,train,2
526,val,-1
527,train,3
528,val,-1
529,train,0
530,train,4
531,train,2
532,train,3
533,val,-1
534,test,-1
535,test,-1
536,train,1
537,train,1
538,val,-1
539,train,3
540,train,2
541,val,-1
542,train,1
543,test,-1
544,train,3
545,train,4
546,train,3
547,val,-1
548,train,4
549,val,-1
550,train,3
551,test,-1
552,test,-1
553,train,4
554,test,-1
555,train,4
556,train,1
557,test,-1
558,train,4
559,train,4
560,train,4
561,test,-1
562,test,-1
563,train,4
564,train,4
565,train,4
566,test,-1
567,train,1
568,train,0
569,train,2
570,train,2
571,val,-1
572,train,1
573,train,1
574,train,1
575,train,4
576,train,1
577,train,0
578,train,3
579,test,-1
580,test,-1
581,train,3
582,train,4
583,val,-1
584,train,2
585,train,3
586,val,-1
587,train,1
588,train,4
589,test,-1
590,train,2
591,val,-1
592,train,0
593,train,1
594,train,4
595,train,1
596,train,0
597,train,1
598,val,-1
599,train,1
600,val,-1
601,train,2
602,train,3
603,train,0
604,train,3
605,train,1
606,test,-1
607,train,4
608,train,4
609,train,3
610,train,2
611,test,-1
612,val,-1
613,test,-1
614,train,0
615,train,3
616,train,3
617,train,1
618,train,0
619,val,-1
620,train,0
621,train,0
622,val,-1
623,test,-1
624,train,0
625,val,-1
626,train,1
627,val,-1
628,train,3
629,train,4
630,train,4
631,val,-1
632,train,1
633,test,-1
634,test,-1
635,train,0
636,train,0
637,val,-1
638,train,1
639,train,3
640,train,3
641,train,2
642,test,-1
643,train,4
644,val,-1
645,train,0
646,val,-1
647,test,-1
648,train,0
649,val,-1
650,train,1
651,val,-1
652,train,3
653,train,3
654,val,-1
655,train,2
656,val,-1
657,train,4
658,train,0
659,train,1
660,val,-1
661,train,1
662,test,-1
663,train,2
664,test,-1
665,train,1
666,train,0
667,val,-1
668,val,-1
669,train,0
670,train,2
671,train,2
672,train,0
673,test,-1
674,train,0
675,train,3
676,val,-1
677,train,1
678,train,3
679,train,3
680,train,2
681,test,-1
682,val,-1
683,train,3
684,train,0
685,train,0
686,test,-1
687,train,1
688,train,0
689,test,-1
690,val,-1
691,val,-1
692,train,2
693,train,1
694,train,2
695,train,2
696,val,-1
697,train,1
698,train,1
699,train,1
700,train,1
701,test,-1
702,val,-1
703,train,4
704,train,1
705,train,3
706,test,-1
707,train,1
708,train,1
709,train,4
710,test,-1
711,val,-1
712,train,2
713,train,1
714,test,-1
715,train,4
716,train,4
717,train,1
718,val,-1
719,train,1
720,val,-1
721,test,-1
722,test,-1
723,train,1
724,train,4
725,val,-1
726,train,4
727,test,-1
728,train,2
729,train,3
730,train,1
731,train,3
732,train,2
733,train,3
734,val,-1
735,train,0
736,train,2
737,val,-1
738,train,4
739,train,4
740,train,4
741,train,0
742,train,4
743,val,-1
744,train,3
745,test,-1
746,train,0
747,train,4
748,train,2
749,train,0
750,test,-1
751,test,-1
752,val,-1
753,train,0
754,test,-1
755,train,0
756,train,2
757,train,4
758,val,-1
759,train,1
760,train,0
761,train,2
762,train,2
