,class_0,class_1,class_2
Age,0.077632055,0.04456419,0.079266906
Sleep_Hours,0.06399215,0.036971893,0.06693804
Work_Hours,0.07082996,0.04284647,0.062229395
Physical_Activity_Hours,0.05076191,0.030104447,0.06020322
Social_Media_Usage,0.08636714,0.050406255,0.08846359
Consultation_History_bin,0.02838907,0.01079211,0.020585723
Medication_Usage_bin,0.02468041,0.013348335,0.028913895
Smoking_Habit_ord,0.032015976,0.017953835,0.03201633
Smoking_Habit_bin,0.011725361,0.00607081,0.0076329326
Alcohol_Consumption_ord,0.033626672,0.021358727,0.033756934
Alcohol_Consumption_bin,0.007776636,0.0054643406,0.012797203
Diet_Quality_ord,0.036450237,0.021130113,0.028282061
Stress_Level_ord,0.023575315,0.013657863,0.022253018
Gender_norm_lbl,0.038595986,0.025025828,0.049986374
Occupation_lbl,0.044720195,0.035040442,0.055185728
Country_lbl,0.0489601,0.028061017,0.046596963
Mental_Health_Condition_lbl,0.027265692,0.011516621,0.025974184
Work_Sleep_Ratio,0.09354896,0.0568065,0.08809279
Stress_x_Smoking,0.029384892,0.017395737,0.03983814
Stress_x_Alcohol,0.034766026,0.020390997,0.030094896
High_Risk_Pattern_Flag,0.003930906,0.0040172115,0.0019992176
Sleep_Deviation,0.04548486,0.03040665,0.045810226
Digital_Overload_Score,0.08345209,0.07408245,0.09777893
Age_Squared,0.0323595,0.018665839,0.028474055
